% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      583                      1.0298990379882445E-7
0.5                      584                      1.0282597971455838E-7
0.5                      585                      1.0266246400068884E-7
0.5                      586                      1.0249935665721577E-7
0.5                      587                      1.0233665768413911E-7
0.5                      588                      1.0217436708145891E-7
0.5                      589                      1.0201248484917518E-7
0.5                      590                      1.0185101098728788E-7
0.5                      591                      1.0168994549579711E-7
0.5                      592                      1.0152928837470271E-7
0.5                      593                      1.013690396240048E-7
0.5                      594                      1.0120919924370331E-7
0.5                      595                      1.0104976723379837E-7
0.5                      596                      1.0089074359428973E-7
0.5                      597                      1.0073212832517765E-7
0.5                      598                      1.0057392142646201E-7
0.5                      599                      1.0041612289814285E-7
0.5                      600                      1.0025873274022005E-7
0.5                      601                      1.0010175095269378E-7
0.5                      602                      9.994517753556394E-8
0.5                      603                      9.978901248883056E-8
0.5                      604                      9.963325581249368E-8
0.5                      605                      9.947790750655321E-8
0.5                      606                      9.932296757100918E-8
0.5                      607                      9.916843600586164E-8
0.5                      608                      9.90143128111105E-8
0.5                      609                      9.886059798675591E-8
0.5                      610                      9.870729153279772E-8
0.5                      611                      9.855439344923596E-8
0.5                      612                      9.840190373607068E-8
0.5                      613                      9.82498223933019E-8
0.5                      614                      9.809814942092948E-8
0.5                      615                      9.794688481895354E-8
0.5                      616                      9.779602858737408E-8
0.5                      617                      9.76455807261911E-8
0.5                      618                      9.749554123540456E-8
0.5                      619                      9.734591011501444E-8
0.5                      620                      9.71966873650208E-8
0.5                      621                      9.70478729854236E-8
0.5                      622                      9.689946697622286E-8
0.5                      623                      9.675146933741859E-8
0.5                      624                      9.660388006901074E-8
0.5                      625                      9.645669917099939E-8
0.5                      626                      9.630992664338443E-8
0.5                      627                      9.616356248616598E-8
0.5                      628                      9.601689961482463E-8
0.5                      629                      9.586865449614204E-8
0.5                      630                      9.572075706376351E-8
0.5                      631                      9.557320731768895E-8
0.5                      632                      9.542600525791848E-8
0.5                      633                      9.527915088445205E-8
0.5                      634                      9.51326441972897E-8
0.5                      635                      9.498648519643132E-8
0.5                      636                      9.4840673881877E-8
