% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.02                     562                      1.669973375452371E-4
0.02                     563                      1.6684397738776752E-4
0.02                     564                      1.6669064929811383E-4
0.02                     565                      1.6653735327627612E-4
0.02                     566                      1.6638408932225442E-4
0.02                     567                      1.6623089269968778E-4
0.02                     568                      1.6607775242721395E-4
0.02                     569                      1.6592465567832106E-4
0.02                     570                      1.6577160245300886E-4
0.02                     571                      1.6561859275127786E-4
0.02                     572                      1.6546562657312764E-4
0.02                     573                      1.6531270391855846E-4
0.02                     574                      1.6515982478757012E-4
0.02                     575                      1.650069891801625E-4
0.02                     576                      1.648541970963362E-4
0.02                     577                      1.647014485360906E-4
0.02                     578                      1.6454874349942596E-4
0.02                     579                      1.6439608198634222E-4
0.02                     580                      1.6424346399683944E-4
0.02                     581                      1.6409088953091747E-4
0.02                     582                      1.639383585885765E-4
0.02                     583                      1.6378592288233734E-4
0.02                     584                      1.6363355497751294E-4
0.02                     585                      1.6348123882899525E-4
0.02                     586                      1.633289744367848E-4
0.02                     587                      1.6317676180088129E-4
0.02                     588                      1.6302460092128458E-4
0.02                     589                      1.6287249179799512E-4
0.02                     590                      1.6272043443101255E-4
0.02                     591                      1.6256842882033697E-4
0.02                     592                      1.6241647496596854E-4
0.02                     593                      1.6226457286790696E-4
0.02                     594                      1.6211272252615214E-4
0.02                     595                      1.619609239407046E-4
0.02                     596                      1.6180917711156392E-4
0.02                     597                      1.6165748203873028E-4
0.02                     598                      1.615058387222036E-4
0.02                     599                      1.6135432210684944E-4
0.02                     600                      1.6120288666990608E-4
0.02                     601                      1.610515142436533E-4
0.02                     602                      1.6090020482809134E-4
0.02                     603                      1.6074895842321997E-4
0.02                     604                      1.6059777502903922E-4
0.02                     605                      1.6044665464554913E-4
0.02                     606                      1.6029559727274973E-4
0.02                     607                      1.6014460291064112E-4
0.02                     608                      1.599936715592229E-4
0.02                     609                      1.598428032184956E-4
0.02                     610                      1.5969199788845874E-4
0.02                     611                      1.5954125556911272E-4
0.02                     612                      1.5939057626045732E-4
0.02                     613                      1.5923995996249257E-4
0.02                     614                      1.5908940667521857E-4
0.02                     615                      1.5893899163309607E-4
0.02                     616                      1.587886639472642E-4
0.02                     617                      1.5863840996055228E-4
0.02                     618                      1.5848822967296048E-4
0.02                     619                      1.5833812308448886E-4
0.02                     620                      1.581880901951372E-4
0.02                     621                      1.5803813100490592E-4
0.02                     622                      1.5788824551379453E-4
0.02                     623                      1.577384337218034E-4
0.02                     624                      1.5758869562893226E-4
0.02                     625                      1.5743903123518118E-4
0.02                     626                      1.572894405405504E-4
0.02                     627                      1.5713992354503953E-4
