% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  514                      1.3145693495529856E-7
1.0E-14                  515                      1.3123163204218164E-7
1.0E-14                  516                      1.310071656700518E-7
1.0E-14                  517                      1.3078353583890905E-7
1.0E-14                  518                      1.305607425487535E-7
1.0E-14                  519                      1.3033878579958486E-7
1.0E-14                  520                      1.301176655914034E-7
1.0E-14                  521                      1.2989738192420895E-7
1.0E-14                  522                      1.2967793479800163E-7
1.0E-14                  523                      1.2945932421278135E-7
1.0E-14                  524                      1.292415501685482E-7
1.0E-14                  525                      1.2902461266530216E-7
1.0E-14                  526                      1.2880851170304312E-7
1.0E-14                  527                      1.285932472817712E-7
1.0E-14                  528                      1.2837881940148636E-7
1.0E-14                  529                      1.2816522806218865E-7
1.0E-14                  530                      1.2795247326387792E-7
1.0E-14                  531                      1.2774055500655435E-7
1.0E-14                  532                      1.2752947329021779E-7
1.0E-14                  533                      1.2731922811486834E-7
1.0E-14                  534                      1.27109819480506E-7
1.0E-14                  535                      1.2690124738713075E-7
1.0E-14                  536                      1.266935118347426E-7
1.0E-14                  537                      1.2648661282334144E-7
1.0E-14                  538                      1.2628055035292734E-7
1.0E-14                  539                      1.2607532442350052E-7
1.0E-14                  540                      1.258709350350606E-7
1.0E-14                  541                      1.256673821876078E-7
1.0E-14                  542                      1.254646658811421E-7
1.0E-14                  543                      1.252627861156635E-7
1.0E-14                  544                      1.2506174289117197E-7
1.0E-14                  545                      1.2486153620766753E-7
1.0E-14                  546                      1.246621660651502E-7
1.0E-14                  547                      1.2446363246361984E-7
1.0E-14                  548                      1.2426593540307665E-7
1.0E-14                  549                      1.2406907488352053E-7
1.0E-14                  550                      1.2387305090495148E-7
1.0E-14                  551                      1.2367786346736952E-7
1.0E-14                  552                      1.2348351257077463E-7
1.0E-14                  553                      1.232899982151668E-7
