% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:31
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-12                  441                      1.600073550753297E-7
1.0E-12                  442                      1.5970997129339556E-7
1.0E-12                  443                      1.5941373727513933E-7
1.0E-12                  444                      1.591186530205609E-7
1.0E-12                  445                      1.5882471852966016E-7
1.0E-12                  446                      1.5853193380243733E-7
1.0E-12                  447                      1.5824029883889218E-7
1.0E-12                  448                      1.579498136390249E-7
1.0E-12                  449                      1.5766047820283552E-7
1.0E-12                  450                      1.5737229253032382E-7
1.0E-12                  451                      1.570852566214899E-7
1.0E-12                  452                      1.567993704763339E-7
1.0E-12                  453                      1.565146340948556E-7
1.0E-12                  454                      1.5623104747705518E-7
1.0E-12                  455                      1.5594861062293246E-7
1.0E-12                  456                      1.5566732353248763E-7
1.0E-12                  457                      1.553871862057205E-7
1.0E-12                  458                      1.551081986426313E-7
1.0E-12                  459                      1.5483036084321982E-7
1.0E-12                  460                      1.5455367280748627E-7
1.0E-12                  461                      1.542781345354303E-7
1.0E-12                  462                      1.539999216792533E-7
1.0E-12                  463                      1.537220011669264E-7
1.0E-12                  464                      1.5344505469944118E-7
1.0E-12                  465                      1.531690822767975E-7
1.0E-12                  466                      1.5289408389899527E-7
1.0E-12                  467                      1.526200595660345E-7
1.0E-12                  468                      1.5234700927791534E-7
1.0E-12                  469                      1.5207493303463773E-7
1.0E-12                  470                      1.5180383083620167E-7
1.0E-12                  471                      1.5153370268260703E-7
1.0E-12                  472                      1.51264548573854E-7
1.0E-12                  473                      1.5099636850994244E-7
1.0E-12                  474                      1.5072916249087249E-7
1.0E-12                  475                      1.504629305166441E-7
1.0E-12                  476                      1.501976725872571E-7
1.0E-12                  477                      1.4993338870271174E-7
1.0E-12                  478                      1.4967007886300786E-7
1.0E-12                  479                      1.4940774306814555E-7
1.0E-12                  480                      1.4914638131812478E-7
1.0E-12                  481                      1.4888599361294552E-7
1.0E-12                  482                      1.4862657995260778E-7
1.0E-12                  483                      1.4836814033711146E-7
1.0E-12                  484                      1.4811067476645685E-7
1.0E-12                  485                      1.478541832406437E-7
1.0E-12                  486                      1.4759866575967209E-7
1.0E-12                  487                      1.4734412232354201E-7
1.0E-12                  488                      1.4709055293225337E-7
1.0E-12                  489                      1.4683795758580633E-7
1.0E-12                  490                      1.465863362842008E-7
1.0E-12                  491                      1.4633568902743686E-7
1.0E-12                  492                      1.4608601581551446E-7
1.0E-12                  493                      1.4583731664843354E-7
1.0E-12                  494                      1.455895915261941E-7
1.0E-12                  495                      1.4534284044879626E-7
1.0E-12                  496                      1.4509706341624E-7
1.0E-12                  497                      1.4485226042852516E-7
1.0E-12                  498                      1.4460843148565192E-7
1.0E-12                  499                      1.443655765876201E-7
1.0E-12                  500                      1.441236957344299E-7
1.0E-12                  501                      1.4388278892608126E-7
1.0E-12                  502                      1.436428561625741E-7
1.0E-12                  503                      1.4340389744390853E-7
1.0E-12                  504                      1.4316591277008445E-7
1.0E-12                  505                      1.4292692567683109E-7
1.0E-12                  506                      1.4268548249697865E-7
1.0E-12                  507                      1.4244477425491698E-7
1.0E-12                  508                      1.4220480095064616E-7
1.0E-12                  509                      1.4196556258416616E-7
1.0E-12                  510                      1.41727059155477E-7
1.0E-12                  511                      1.4148929066457866E-7
1.0E-12                  512                      1.4125225711147113E-7
1.0E-12                  513                      1.410159584961544E-7
1.0E-12                  514                      1.407803948186286E-7
1.0E-12                  515                      1.4054556607889356E-7
1.0E-12                  516                      1.403114722769493E-7
1.0E-12                  517                      1.400781134127959E-7
1.0E-12                  518                      1.3984548948643328E-7
1.0E-12                  519                      1.3961360049786161E-7
1.0E-12                  520                      1.3938244644708072E-7
1.0E-12                  521                      1.3915202733409057E-7
1.0E-12                  522                      1.3892234315889126E-7
1.0E-12                  523                      1.386933939214829E-7
1.0E-12                  524                      1.3846517962186523E-7
1.0E-12                  525                      1.3823770026003845E-7
1.0E-12                  526                      1.3801095583600251E-7
1.0E-12                  527                      1.3778494634975735E-7
1.0E-12                  528                      1.3755967180130303E-7
1.0E-12                  529                      1.3733513219063962E-7
1.0E-12                  530                      1.3711132751776698E-7
1.0E-12                  531                      1.3688825778268516E-7
1.0E-12                  532                      1.3666592298539413E-7
1.0E-12                  533                      1.3644432312589393E-7
1.0E-12                  534                      1.362234582041846E-7
1.0E-12                  535                      1.360033282202661E-7
1.0E-12                  536                      1.3578393317413842E-7
1.0E-12                  537                      1.355652730658015E-7
1.0E-12                  538                      1.3534734789525553E-7
1.0E-12                  539                      1.3513015766250031E-7
1.0E-12                  540                      1.3491370236753587E-7
1.0E-12                  541                      1.3469798201036236E-7
1.0E-12                  542                      1.3448299659097953E-7
1.0E-12                  543                      1.3426874610938764E-7
1.0E-12                  544                      1.3405523056558656E-7
1.0E-12                  545                      1.3384244995957636E-7
1.0E-12                  546                      1.3363040429135688E-7
1.0E-12                  547                      1.3341909356092825E-7
1.0E-12                  548                      1.3320851776829047E-7
1.0E-12                  549                      1.329953776520562E-7
1.0E-12                  550                      1.3278248162065916E-7
1.0E-12                  551                      1.3257015675402178E-7
1.0E-12                  552                      1.3235840305214444E-7
1.0E-12                  553                      1.3214722051502682E-7
1.0E-12                  554                      1.3193660914266895E-7
1.0E-12                  555                      1.3172656893507103E-7
1.0E-12                  556                      1.3151709989223292E-7
1.0E-12                  557                      1.3130820201415457E-7
1.0E-12                  558                      1.3109987530083616E-7
1.0E-12                  559                      1.3089211975227756E-7
1.0E-12                  560                      1.3068493536847877E-7
1.0E-12                  561                      1.3047832214943981E-7
1.0E-12                  562                      1.3027228009516068E-7
1.0E-12                  563                      1.300668092056414E-7
1.0E-12                  564                      1.2986190948088195E-7
1.0E-12                  565                      1.2965758092088233E-7
1.0E-12                  566                      1.2945382352564253E-7
1.0E-12                  567                      1.292506372951626E-7
1.0E-12                  568                      1.2904802222944246E-7
1.0E-12                  569                      1.2884597832848225E-7
1.0E-12                  570                      1.2864450559228173E-7
1.0E-12                  571                      1.2844360402084111E-7
1.0E-12                  572                      1.2824327361416033E-7
1.0E-12                  573                      1.2804351437223936E-7
1.0E-12                  574                      1.2784432629507823E-7
1.0E-12                  575                      1.2764570938267692E-7
