% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-11                  472                      1.5011521700054219E-5
1.0E-11                  473                      1.4849167282001762E-5
1.0E-11                  474                      1.4688183889169754E-5
1.0E-11                  475                      1.4528487136688688E-5
1.0E-11                  476                      1.4369960298234612E-5
1.0E-11                  477                      1.4212735588070892E-5
1.0E-11                  478                      1.4056813006197484E-5
1.0E-11                  479                      1.3902192552614404E-5
1.0E-11                  480                      1.3748874227321673E-5
1.0E-11                  481                      1.359685803031927E-5
1.0E-11                  482                      1.3446143961607192E-5
1.0E-11                  483                      1.3296732021185441E-5
1.0E-11                  484                      1.3148622209054028E-5
1.0E-11                  485                      1.3001814525212945E-5
1.0E-11                  486                      1.2856308969662198E-5
1.0E-11                  487                      1.2712105542401773E-5
1.0E-11                  488                      1.2569129054396694E-5
1.0E-11                  489                      1.2427101147137376E-5
1.0E-11                  490                      1.2286316412086967E-5
1.0E-11                  491                      1.2146774849245486E-5
1.0E-11                  492                      1.2008476458612926E-5
1.0E-11                  493                      1.1871421240189291E-5
1.0E-11                  494                      1.1735609193974575E-5
1.0E-11                  495                      1.160104031996879E-5
1.0E-11                  496                      1.1467714618171923E-5
1.0E-11                  497                      1.1335632088583977E-5
1.0E-11                  498                      1.1204792731204964E-5
1.0E-11                  499                      1.107519654603487E-5
1.0E-11                  500                      1.0946843533073695E-5
1.0E-11                  501                      1.0819718328715958E-5
1.0E-11                  502                      1.0693276133995187E-5
1.0E-11                  503                      1.0567996164285135E-5
1.0E-11                  504                      1.04438784195858E-5
1.0E-11                  505                      1.0320922899897185E-5
1.0E-11                  506                      1.0199129605219279E-5
1.0E-11                  507                      1.0078498535552091E-5
1.0E-11                  508                      9.959029690895627E-6
1.0E-11                  509                      9.840723071249874E-6
1.0E-11                  510                      9.723578676614834E-6
1.0E-11                  511                      9.60759650699051E-6
1.0E-11                  512                      9.492776562376905E-6
1.0E-11                  513                      9.379118842774017E-6
1.0E-11                  514                      9.266623348181848E-6
1.0E-11                  515                      9.154818112514891E-6
1.0E-11                  516                      9.044029943913817E-6
1.0E-11                  517                      8.934326351779528E-6
1.0E-11                  518                      8.825707336112025E-6
1.0E-11                  519                      8.71817289691132E-6
1.0E-11                  520                      8.611723034177387E-6
1.0E-11                  521                      8.506357747910251E-6
1.0E-11                  522                      8.402077038109899E-6
1.0E-11                  523                      8.298880904776338E-6
1.0E-11                  524                      8.196769347909565E-6
1.0E-11                  525                      8.095742367509574E-6
1.0E-11                  526                      7.995799963576374E-6
1.0E-11                  527                      7.896942136109959E-6
1.0E-11                  528                      7.798794865203284E-6
1.0E-11                  529                      7.701509867972766E-6
1.0E-11                  530                      7.605232852395351E-6
1.0E-11                  531                      7.509963818471035E-6
1.0E-11                  532                      7.415702766199819E-6
1.0E-11                  533                      7.322449695581703E-6
1.0E-11                  534                      7.230204606616692E-6
1.0E-11                  535                      7.138967499304775E-6
1.0E-11                  536                      7.048738373645958E-6
1.0E-11                  537                      6.959517229640245E-6
1.0E-11                  538                      6.871304067287631E-6
1.0E-11                  539                      6.784098886588115E-6
1.0E-11                  540                      6.697901687541695E-6
1.0E-11                  541                      6.612410916418093E-6
1.0E-11                  542                      6.527610772575769E-6
1.0E-11                  543                      6.443737422732325E-6
1.0E-11                  544                      6.360790866887771E-6
1.0E-11                  545                      6.278771105042097E-6
1.0E-11                  546                      6.197678137195311E-6
1.0E-11                  547                      6.11751196334741E-6
1.0E-11                  548                      6.038272583498394E-6
1.0E-11                  549                      5.959959997648262E-6
1.0E-11                  550                      5.882574205797018E-6
1.0E-11                  551                      5.806115207944656E-6
1.0E-11                  552                      5.7305830040911784E-6
1.0E-11                  553                      5.655977594236589E-6
1.0E-11                  554                      5.58189769448005E-6
1.0E-11                  555                      5.507981718191495E-6
1.0E-11                  556                      5.434836502716495E-6
1.0E-11                  557                      5.362462048055047E-6
1.0E-11                  558                      5.290858354207152E-6
1.0E-11                  559                      5.220025421172816E-6
1.0E-11                  560                      5.149963248952024E-6
1.0E-11                  561                      5.080671837544791E-6
1.0E-11                  562                      5.01215118695111E-6
1.0E-11                  563                      4.944401297170983E-6
1.0E-11                  564                      4.877422168204407E-6
1.0E-11                  565                      4.811213800051388E-6
1.0E-11                  566                      4.745776192711921E-6
1.0E-11                  567                      4.681109346186006E-6
1.0E-11                  568                      4.617213260473644E-6
1.0E-11                  569                      4.554087935574837E-6
1.0E-11                  570                      4.491733371489582E-6
1.0E-11                  571                      4.43014956821788E-6
1.0E-11                  572                      4.369336525759733E-6
1.0E-11                  573                      4.309294244115139E-6
1.0E-11                  574                      4.250022723284099E-6
1.0E-11                  575                      4.191521963266613E-6
1.0E-11                  576                      4.1337919640626756E-6
1.0E-11                  577                      4.076832725672296E-6
1.0E-11                  578                      4.020644248095468E-6
1.0E-11                  579                      3.965226531332192E-6
1.0E-11                  580                      3.910497936883305E-6
1.0E-11                  581                      3.855087630655716E-6
1.0E-11                  582                      3.800336249864213E-6
1.0E-11                  583                      3.7462437945087984E-6
