% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.5 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.5                      567                      5.06644537256841E-6
0.5                      568                      5.068925018984207E-6
0.5                      569                      5.071400402136515E-6
0.5                      570                      5.073871522025524E-6
0.5                      571                      5.0763383786508E-6
0.5                      572                      5.0788009720126954E-6
0.5                      573                      5.081259302111129E-6
0.5                      574                      5.083713368945884E-6
0.5                      575                      5.086163172517366E-6
0.5                      576                      5.088608712825252E-6
0.5                      577                      5.0910499898698105E-6
0.5                      578                      5.093487003650853E-6
0.5                      579                      5.095919754168163E-6
0.5                      580                      5.098348241422201E-6
0.5                      581                      5.100772465412777E-6
0.5                      582                      5.103192426139755E-6
0.5                      583                      5.105608123603353E-6
0.5                      584                      5.108019557803272E-6
0.5                      585                      5.110426728739865E-6
0.5                      586                      5.112829636412969E-6
0.5                      587                      5.115228280822584E-6
0.5                      588                      5.117622661968683E-6
0.5                      589                      5.12001277985132E-6
0.5                      590                      5.1223986344704135E-6
0.5                      591                      5.1247802258261E-6
0.5                      592                      5.127157553918297E-6
0.5                      593                      5.129530618746896E-6
0.5                      594                      5.131899420312061E-6
0.5                      595                      5.134263958613873E-6
0.5                      596                      5.136624233651924E-6
0.5                      597                      5.138980245426758E-6
0.5                      598                      5.141331993937994E-6
0.5                      599                      5.143679479185768E-6
0.5                      600                      5.146022701170053E-6
0.5                      601                      5.148361659890714E-6
0.5                      602                      5.1506963553480485E-6
0.5                      603                      5.153026787541894E-6
0.5                      604                      5.155352956472169E-6
0.5                      605                      5.157674862139091E-6
0.5                      606                      5.159992504542523E-6
0.5                      607                      5.162305883682386E-6
0.5                      608                      5.164614999558624E-6
0.5                      609                      5.1669198521716165E-6
0.5                      610                      5.169220441520958E-6
0.5                      611                      5.1715167676069185E-6
0.5                      612                      5.173808830429444E-6
0.5                      613                      5.176096629988319E-6
0.5                      614                      5.178380166283704E-6
0.5                      615                      5.180659439315709E-6
0.5                      616                      5.182934449084279E-6
0.5                      617                      5.185205195589306E-6
0.5                      618                      5.187471678830735E-6
0.5                      619                      5.189733898808784E-6
0.5                      620                      5.191991855523371E-6
0.5                      621                      5.194245548974442E-6
0.5                      622                      5.196494979161915E-6
0.5                      623                      5.198740146086198E-6
0.5                      624                      5.2009810497466934E-6
0.5                      625                      5.203217690143808E-6
0.5                      626                      5.205450067277489E-6
0.5                      627                      5.2076781811475985E-6
0.5                      628                      5.209911136280028E-6
0.5                      629                      5.212165459640282E-6
0.5                      630                      5.2144163011145605E-6
0.5                      631                      5.2166636607027E-6
0.5                      632                      5.218907538404781E-6
0.5                      633                      5.221147934220859E-6
0.5                      634                      5.223384848150798E-6
0.5                      635                      5.225618280194788E-6
0.5                      636                      5.2278482303526384E-6
0.5                      637                      5.230074698624404E-6
0.5                      638                      5.23229768501014E-6
0.5                      639                      5.234517189509953E-6
0.5                      640                      5.2367332121235185E-6
0.5                      641                      5.2389457528512434E-6
0.5                      642                      5.241154811692856E-6
0.5                      643                      5.24336038864833E-6
0.5                      644                      5.245562483717801E-6
0.5                      645                      5.247761096901214E-6
0.5                      646                      5.249956228198515E-6
0.5                      647                      5.252147877609893E-6
0.5                      648                      5.25433604513516E-6
0.5                      649                      5.256520730774315E-6
0.5                      650                      5.258701934527575E-6
0.5                      651                      5.2608796563945875E-6
0.5                      652                      5.263053896375705E-6
0.5                      653                      5.265224654470683E-6
0.5                      654                      5.267391930679658E-6
0.5                      655                      5.269555725002494E-6
0.5                      656                      5.271716037439435E-6
0.5                      657                      5.273872867990183E-6
0.5                      658                      5.276026216655035E-6
0.5                      659                      5.2781760834336405E-6
0.5                      660                      5.280322468326351E-6
0.5                      661                      5.28246537133284E-6
0.5                      662                      5.284604792453462E-6
0.5                      663                      5.286740731687972E-6
0.5                      664                      5.2888731890364245E-6
0.5                      665                      5.291002164498819E-6
0.5                      666                      5.293127658075156E-6
0.5                      667                      5.295249669765489E-6
0.5                      668                      5.297368199569684E-6
0.5                      669                      5.299483247487902E-6
0.5                      670                      5.301594813519981E-6
0.5                      671                      5.3037028976661105E-6
0.5                      672                      5.305807499926101E-6
0.5                      673                      5.30790862030017E-6
0.5                      674                      5.310006258788099E-6
0.5                      675                      5.312100415389809E-6
0.5                      676                      5.31419109010584E-6
0.5                      677                      5.316278282935515E-6
0.5                      678                      5.318361993879295E-6
0.5                      679                      5.320442222936963E-6
