% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  410                      2.1006382617822555E-4
1.0E-14                  411                      2.1032240574267208E-4
1.0E-14                  412                      2.1058073182802107E-4
1.0E-14                  413                      2.108388044342722E-4
1.0E-14                  414                      2.110966235614256E-4
1.0E-14                  415                      2.1135418920948122E-4
1.0E-14                  416                      2.116115013784391E-4
1.0E-14                  417                      2.118685600682995E-4
1.0E-14                  418                      2.1212536527906204E-4
1.0E-14                  419                      2.1238191701072694E-4
1.0E-14                  420                      2.1263821526329408E-4
1.0E-14                  421                      2.1289426003676343E-4
1.0E-14                  422                      2.131500513311352E-4
1.0E-14                  423                      2.134055891464091E-4
1.0E-14                  424                      2.1366087348258556E-4
1.0E-14                  425                      2.1391590433966404E-4
1.0E-14                  426                      2.1417068171764494E-4
1.0E-14                  427                      2.1442520561652808E-4
1.0E-14                  428                      2.1467947603631368E-4
1.0E-14                  429                      2.1493349297700129E-4
1.0E-14                  430                      2.1518725643859132E-4
1.0E-14                  431                      2.1544076642108367E-4
1.0E-14                  432                      2.156940229244782E-4
1.0E-14                  433                      2.1594702594877503E-4
1.0E-14                  434                      2.161997754939743E-4
1.0E-14                  435                      2.1645227156007565E-4
1.0E-14                  436                      2.167045141470795E-4
1.0E-14                  437                      2.169565032549855E-4
1.0E-14                  438                      2.1720823888379392E-4
1.0E-14                  439                      2.174597210335043E-4
1.0E-14                  440                      2.177109497041172E-4
1.0E-14                  441                      2.1796192489563254E-4
1.0E-14                  442                      2.1821264660805003E-4
1.0E-14                  443                      2.1846311484136972E-4
1.0E-14                  444                      2.1871332959559175E-4
1.0E-14                  445                      2.189632908707159E-4
1.0E-14                  446                      2.1921299866674266E-4
1.0E-14                  447                      2.1946245298367156E-4
1.0E-14                  448                      2.1971165382150267E-4
1.0E-14                  449                      2.1996060118023624E-4
