% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  471                      4.438046419340784E-6
1.0E-12                  472                      4.441494633610567E-6
1.0E-12                  473                      4.444936492183158E-6
1.0E-12                  474                      4.448371995058748E-6
1.0E-12                  475                      4.451801142237201E-6
1.0E-12                  476                      4.455223933718571E-6
1.0E-12                  477                      4.458640369502722E-6
1.0E-12                  478                      4.46205044958998E-6
1.0E-12                  479                      4.465454173980073E-6
1.0E-12                  480                      4.468851542673084E-6
1.0E-12                  481                      4.472242555668903E-6
1.0E-12                  482                      4.4756272129676665E-6
1.0E-12                  483                      4.479005514569401E-6
1.0E-12                  484                      4.48237746047389E-6
1.0E-12                  485                      4.4857430506814314E-6
1.0E-12                  486                      4.4891022851917815E-6
1.0E-12                  487                      4.492455164005184E-6
1.0E-12                  488                      4.495801687121341E-6
1.0E-12                  489                      4.499141854540496E-6
1.0E-12                  490                      4.50247566626246E-6
1.0E-12                  491                      4.5058031222875035E-6
1.0E-12                  492                      4.50912422261522E-6
1.0E-12                  493                      4.512438967246016E-6
1.0E-12                  494                      4.515747356179675E-6
1.0E-12                  495                      4.519049389416143E-6
1.0E-12                  496                      4.5223450669555E-6
1.0E-12                  497                      4.525634388797829E-6
1.0E-12                  498                      4.528917354942993E-6
1.0E-12                  499                      4.532193965391183E-6
1.0E-12                  500                      4.535464220142317E-6
1.0E-12                  501                      4.538728119196151E-6
1.0E-12                  502                      4.541985662553038E-6
1.0E-12                  503                      4.54523685021276E-6
1.0E-12                  504                      4.548481682175616E-6
1.0E-12                  505                      4.5517273047657745E-6
1.0E-12                  506                      4.5549789740249305E-6
1.0E-12                  507                      4.558225152129057E-6
1.0E-12                  508                      4.561465839078262E-6
1.0E-12                  509                      4.564701034872519E-6
1.0E-12                  510                      4.567930739511665E-6
1.0E-12                  511                      4.571154952996053E-6
1.0E-12                  512                      4.574373675325438E-6
1.0E-12                  513                      4.577586906499739E-6
1.0E-12                  514                      4.580794646519173E-6
1.0E-12                  515                      4.583996895383524E-6
1.0E-12                  516                      4.587193653093143E-6
1.0E-12                  517                      4.590384919647597E-6
1.0E-12                  518                      4.593570695047129E-6
1.0E-12                  519                      4.596750979291714E-6
1.0E-12                  520                      4.59992577238116E-6
